iter	RMSE
264	4.43868887
265	4.43861399
266	4.438091895
267	4.437545712
268	4.43668423
269	4.436470716
270	4.436001295
271	4.435222132
272	4.434305225
273	4.434142044
274	4.432978382
275	4.432743635
276	4.431756337
277	4.431080124
278	4.430052958
279	4.429815756
280	4.429077807
281	4.42833528
282	4.427683732
283	4.426544344
284	4.425940118
285	4.425685697
286	4.424498334
287	4.423962786
288	4.423584742
289	4.423494819
290	4.422752158
291	4.42211284
292	4.420728886
293	4.419729568
294	4.418861784
295	4.418463764
296	4.417905902
297	4.417256264
298	4.416331172
299	4.415828371
300	4.415762225
301	4.41513772
302	4.41396325
303	4.413092317
304	4.412217377
305	4.411485049
306	4.410690745
307	4.409859901
308	4.408929726
309	4.40806582
310	4.407754188
311	4.407091966
312	4.406476956
313	4.406255595
314	4.405558296
315	4.404523708
316	4.403772845
317	4.402709737
318	4.402095773
319	4.401659133
320	4.401582808
321	4.400729093
322	4.40011518
323	4.399375969
324	4.39921435
325	4.39818932
326	4.397178589
327	4.396087693
328	4.395204174
329	4.394559372
330	4.39434211
331	4.393781785
332	4.392626446
333	4.391882431
334	4.39099654
335	4.39091287
336	4.390013858
337	4.389312965
338	4.388326121
339	4.387997549
340	4.387366903
341	4.386510281
342	4.386221292
343	4.38571248
344	4.384896725
345	4.384400726
346	4.383405108
347	4.382871566
348	4.382796992
349	4.382158902
350	4.381910976
351	4.381745366
352	4.380970827
353	4.380454838
354	4.38012442
355	4.37973771
356	4.379153793
357	4.378668157
358	4.377872628
359	4.377176953
360	4.376476122
361	4.375993533
362	4.375456778
363	4.375012863
364	4.374118994
365	4.373581434
366	4.372842675
367	4.372402981
368	4.371670184
369	4.371039911
370	4.37027783
371	4.369362222
372	4.368598761
373	4.368286044
374	4.367770224
375	4.367034342
376	4.366517073
377	4.366104437
378	4.36529793
379	4.364471102
380	4.363568803
381	4.362743833
382	4.362071536
383	4.361898611
384	4.361073174
385	4.360528223
386	4.360020647
387	4.359419364
388	4.359102511
389	4.358944609
390	4.35808833
391	4.357498128
392	4.356824137
393	4.35558865
394	4.354952062
395	4.354346583
396	4.353686242
397	4.353365972
398	4.352735776
399	4.351857557
400	4.351366765
401	4.35048267
402	4.349671939
403	4.349378339
404	4.348760582
405	4.348335331
406	4.347734025
407	4.347141153
408	4.346331789
409	4.345791148
410	4.344990102
411	4.344172874
412	4.343580162
413	4.342915666
414	4.342661943
415	4.342445437
416	4.341849131
417	4.341302843
418	4.34094446
419	4.340334089
420	4.339257421
421	4.338854648
422	4.338337064
423	4.337858959
424	4.336978449
425	4.336394292
426	4.335839939
427	4.335205852
428	4.334593984
429	4.334099195
430	4.333272427
431	4.333072746
432	4.332185909
433	4.331421086
434	4.33079647
435	4.330149172
436	4.329847577
437	4.329212882
438	4.328550519
439	4.327636162
440	4.3275545
441	4.326833123
442	4.326709882
443	4.326159508
444	4.32589878
445	4.325555012
446	4.324861951
447	4.324081331
448	4.323809692
449	4.323163376
450	4.322559606
451	4.321861729
452	4.321315112
453	4.320739221
454	4.320204786
455	4.320021261
456	4.319383915
457	4.31924883
458	4.318800474
459	4.318417543
460	4.317501142
461	4.316797087
462	4.316287877
463	4.315450005
464	4.315153981
465	4.314290771
466	4.313932022
467	4.313128183
468	4.312769351
469	4.312545222
470	4.311885128
471	4.311025828
472	4.31060354
473	4.310110411
474	4.309465372
475	4.309090543
476	4.308697565
477	4.308299925
478	4.307632829
479	4.307327043
480	4.306895952
481	4.306306297
482	4.305705082
483	4.304838326
484	4.304142804
485	4.304036416
486	4.30379903
487	4.303097342
488	4.302575551
489	4.302026642
490	4.30141211
491	4.300937603
492	4.300504792
493	4.300167988
494	4.29974722
495	4.299116639
496	4.298506855
497	4.297971267
498	4.297249046
499	4.296861245
500	4.296616995
501	4.296078891
502	4.295496986
503	4.29497089
504	4.294428106
505	4.293894226
506	4.29371369
507	4.292950762
508	4.292552198
509	4.291810734
510	4.291126336
511	4.290611235
512	4.289993111
513	4.28919523
514	4.288831995
515	4.288293659
516	4.287948453
517	4.287410433
518	4.287000244
519	4.286307991
520	4.285974723
521	4.285676457
522	4.285134392
523	4.284498259
524	4.283976637
525	4.28362665
526	4.283222001
527	4.282551083
528	4.282114215
529	4.281565022
530	4.2804769
531	4.279874274
532	4.279034009
533	4.278609787
534	4.278116066
535	4.277781408
536	4.277104367
537	4.276203493
538	4.275944024
539	4.275086143
540	4.274516307
541	4.273969959
542	4.273376937
543	4.273164751
544	4.272657455
545	4.272082445
546	4.271602052
547	4.271422898
548	4.270833591
549	4.270476923
550	4.270350303
551	4.270237953
552	4.26965046
553	4.268892986
554	4.268153756
555	4.267583614
556	4.266403826
557	4.266064917
558	4.265559156
559	4.265186211
560	4.264550719
561	4.264008643
562	4.263711939
563	4.263044505
564	4.262638792
565	4.2619503
566	4.261690442
567	4.261466292
568	4.260812344
569	4.260216486
570	4.259713729
571	4.259268095
572	4.258884656
573	4.258149233
574	4.257796741
575	4.257161772
576	4.256940985
577	4.256643573
578	4.255957193
579	4.255405969
580	4.254952966
581	4.254671939
582	4.254580042
583	4.254163875
584	4.254071493
585	4.253538883
586	4.253029453
587	4.252507554
588	4.252410504
589	4.252332146
590	4.252141106
591	4.251737365
592	4.251048183
593	4.249991208
594	4.249815582
595	4.249171561
596	4.248907885
597	4.248293586
598	4.2477066
599	4.247060744
600	4.246554244
601	4.24606661
602	4.2455625
603	4.245126806
604	4.244954312
605	4.244331225
606	4.243695994
607	4.243220404
608	4.243007436
609	4.242636601
610	4.242460061
611	4.241873758
612	4.241795186
613	4.241294056
614	4.240875923
615	4.240247613
616	4.239725485
617	4.239237991
618	4.239043352
619	4.238556027
620	4.238348563
621	4.238103863
622	4.237903095
623	4.237623844
624	4.23692157
625	4.236308756
626	4.236057702
627	4.235576494
628	4.235129129
629	4.235022312
630	4.234497614
631	4.23424925
632	4.233777582
633	4.233370474
634	4.232565792
635	4.231597054
636	4.230749064
637	4.229995001
638	4.229887133
639	4.229547788
640	4.229331918
641	4.228976601
642	4.228418033
643	4.227935746
644	4.227709934
645	4.227066062
646	4.226554656
647	4.22575745
648	4.225491643
649	4.224767502
650	4.224464103
651	4.223987502
652	4.223213503
653	4.222659422
654	4.221913742
655	4.221393772
656	4.220825994
657	4.220300322
658	4.219614379
659	4.219195476
660	4.218968628
661	4.218415949
662	4.21817622
663	4.217477504
664	4.216986127
665	4.216547347
666	4.216332512
667	4.215458927
668	4.215046162
669	4.214606228
670	4.214443152
671	4.213812023
672	4.213608995
673	4.212960694
674	4.212803945
675	4.2123222
676	4.212044984
677	4.2116007
678	4.211129059
679	4.210641749
680	4.210572125
681	4.210009685
682	4.209733139
683	4.209499131
684	4.209146142
685	4.208569983
686	4.208424523
687	4.207963373
688	4.207752119
689	4.207248877
690	4.206420851
691	4.205965405
692	4.205211784
693	4.204713628
694	4.204266461
695	4.203789695
696	4.203396696
697	4.20256652
698	4.202289939
699	4.201572681
700	4.201230681
701	4.201125877
702	4.200658508
703	4.200462122
704	4.200317052
705	4.199725877
706	4.199331014
707	4.199218665
708	4.198796722
709	4.1983347
710	4.197783822
711	4.197202632
712	4.196994044
713	4.196418455
714	4.196231629
715	4.195314369
716	4.194865957
717	4.194746791
718	4.194243353
719	4.194088116
720	4.193599291
721	4.193421321
722	4.193077535
723	4.192405096
724	4.191666165
725	4.19122611
726	4.191121752
727	4.190610701
728	4.190486899
729	4.189923224
730	4.18984363
731	4.189668599
732	4.189252105
733	4.188972319
734	4.188321608
735	4.18768773
736	4.187021132
737	4.186206373
738	4.185621734
739	4.184761473
740	4.18426689
741	4.183735642
742	4.183360059
743	4.18253909
744	4.182097699
745	4.181943224
746	4.181704624
747	4.181319636
748	4.180536613
749	4.180042133
750	4.179173682
751	4.179013905
752	4.178636522
753	4.178364278
754	4.177908044
755	4.177336256
756	4.176927407
757	4.176584974
758	4.175953736
759	4.175729214
760	4.175521378
761	4.174913205
762	4.17445402
763	4.173916553
764	4.173393576
765	4.173117745
766	4.17257825
767	4.172056369
768	4.171463153
769	4.171133334
770	4.170399901
771	4.169998803
772	4.169384328
773	4.169077962
774	4.168928847
775	4.168064529
776	4.167908826
777	4.167325183
778	4.166900945
779	4.166566609
780	4.166362648
781	4.165720173
782	4.165583219
783	4.165274259
784	4.164874805
785	4.164292968
786	4.163831853
787	4.163635153
788	4.163068065
789	4.162273911
790	4.161851959
791	4.161643526
792	4.161258622
793	4.160686893
794	4.160317396
795	4.159844479
796	4.159372458
797	4.158754614
798	4.158272847
799	4.15788386
800	4.157632022
801	4.157203814
802	4.1569688
803	4.156718062
804	4.156145267
805	4.155553055
806	4.155302694
807	4.15492488
808	4.15440831
809	4.153878694
810	4.153791579
811	4.153277326
812	4.152689661
813	4.152499838
814	4.152037041
815	4.151396981
816	4.150900747
817	4.150591372
818	4.15015322
819	4.149807071
820	4.14929347
821	4.148497045
822	4.147972463
823	4.147798195
824	4.147642414
825	4.147277818
826	4.146427127
827	4.145886016
828	4.145279578
829	4.144534353
830	4.144133338
831	4.143822642
832	4.143514941
833	4.143242411
834	4.142760532
835	4.14226078
836	4.141784174
837	4.141343057
838	4.141118846
839	4.140959101
840	4.140582455
841	4.139928588
842	4.13958324
843	4.139288997
844	4.139192564
845	4.138839367
846	4.13823003
847	4.137929757
848	4.137879175
849	4.137043067
850	4.13653611
851	4.136047605
852	4.135616523
853	4.135300549
854	4.134978083
855	4.134042456
856	4.133604744
857	4.133279725
858	4.132766947
859	4.132190742
860	4.131459809
861	4.130915104
862	4.130549754
863	4.130217917
864	4.129566941
865	4.129213654
866	4.128937517
867	4.128603416
868	4.128099451
869	4.127616804
870	4.127033162
871	4.126384278
872	4.12592892
873	4.125466364
874	4.125060112
875	4.124640946
876	4.124094664
877	4.123428868
878	4.123222303
879	4.12289036
880	4.122804274
881	4.121968466
882	4.121571318
883	4.121132776
884	4.120849829
885	4.120459889
886	4.119999968
887	4.119694644
888	4.119304333
889	4.118883617
890	4.118776117
891	4.118667015
892	4.118367751
893	4.117918673
894	4.117532946
895	4.117220732
896	4.116837438
897	4.116644366
898	4.116037065
899	4.11560331
900	4.11487722
901	4.114639019
902	4.114541949
903	4.114213369
904	4.11398924
905	4.113321338
906	4.11290311
907	4.11253579
908	4.112320888
909	4.112098047
910	4.111622138
911	4.111298105
912	4.110679668
913	4.110126402
914	4.109734555
915	4.109367016
916	4.108987846
917	4.10863248
918	4.107882866
919	4.10747381
920	4.107255336
921	4.107140079
922	4.106996241
923	4.106795455
924	4.106422426
925	4.106033365
926	4.1057613
927	4.105311093
928	4.104899563
929	4.10443771
930	4.104066779
931	4.10394281
932	4.103565486
933	4.103449237
934	4.102833826
935	4.102383141
936	4.101867784
937	4.101611076
938	4.101407889
939	4.101026664
940	4.100695629
941	4.100104469
942	4.099431802
943	4.099109898
944	4.098606559
945	4.098497912
946	4.098065973
947	4.097639554
948	4.097351304
949	4.096915781
950	4.096676913
951	4.096083854
952	4.095935411
953	4.095588472
954	4.094951602
955	4.094138121
956	4.093685924
957	4.093374287
958	4.093205417
959	4.092911886
960	4.092181756
961	4.091792446
962	4.09146636
963	4.090848772
964	4.090428792
965	4.09004323
966	4.08977208
967	4.089433223
968	4.089240258
969	4.088983099
970	4.088409018
971	4.088040863
972	4.087859258
973	4.087620269
974	4.086961756
975	4.086488223
976	4.086022979
977	4.085422674
978	4.085051495
979	4.084664849
980	4.08400861
981	4.083919701
982	4.083390703
983	4.082565136
984	4.082384489
985	4.081938967
986	4.081473075
987	4.081201447
988	4.080507013
989	4.080010947
990	4.079447766
991	4.079144707
992	4.078696119
993	4.078583294
994	4.07807819
995	4.077571006
996	4.077025388
997	4.076599494
998	4.076001705
999	4.075631464
